Chr10	163291	100
Chr10	1127953	100
Chr10	1149010	100
Chr10	1149811	100
Chr10	1150695	100
Chr10	1151761	100
Chr10	1152185	100
Chr10	1153560	100
Chr10	1154145	100
Chr10	1154679	100
Chr10	1155551	100
Chr10	1156534	100
Chr10	1157552	100
Chr10	1164906	100
Chr10	1729026	100
Chr10	7464362	100
Chr10	13781242	100
Chr10	13787036	100
Chr10	13788081	100
Chr10	13802016	100
Chr10	13812262	100
Chr10	13821548	100
Chr10	13823015	100
Chr10	13902050	100
Chr10	14200591	100
Chr10	14202592	100
Chr10	14203286	100
Chr10	14204785	100
Chr10	14206750	100
Chr10	14207541	100
Chr10	14208681	100
Chr10	14433972	100
Chr10	15312269	100
Chr10	15312917	100
Chr10	15313517	100
Chr10	17235692	100
Chr10	17237599	100
Chr10	17394711	100
Chr10	17396530	100
Chr10	17402840	100
Chr10	18592992	100
Chr10	18595132	100
Chr10	18885687	100
Chr10	19093362	100
Chr10	24886628	100
Chr10	25809374	100
Chr10	33953545	100
Chr10	34735279	100
